League,Saison,Spieltag,hometeam_raw,awayteam_raw,final_score_raw,goal_raw,goal_time_raw,extratime_ra
Bundesliga,2014/2015,1,FC Bayern München,VfL Wolfsburg,2:1,2:1,52,no
Bundesliga,2014/2015,1,FC Bayern München,VfL Wolfsburg,2:1,2:0,47,no
Bundesliga,2014/2015,1,FC Bayern München,VfL Wolfsburg,2:1,1:0,38,no
Bundesliga,2014/2015,1,1899 Hoffenheim,FC Augsburg,2:0,2:0,35,no
Bundesliga,2014/2015,1,1899 Hoffenheim,FC Augsburg,2:0,1:0,33,no
Bundesliga,2014/2015,1,Eintracht Frankfurt,SC Freiburg,1:0,1:0,15,no
Bundesliga,2014/2015,1,Hannover 96,FC Schalke 04,2:1,2:1,70,no
Bundesliga,2014/2015,1,Hannover 96,FC Schalke 04,2:1,1:1,67,no
Bundesliga,2014/2015,1,Hannover 96,FC Schalke 04,2:1,0:1,47,no
Bundesliga,2014/2015,1,Hertha BSC,SV Werder Bremen,2:2,2:2,55,no
Bundesliga,2014/2015,1,Hertha BSC,SV Werder Bremen,2:2,2:1,53,no
Bundesliga,2014/2015,1,Hertha BSC,SV Werder Bremen,2:2,2:0,47,no
Bundesliga,2014/2015,1,Hertha BSC,SV Werder Bremen,2:2,1:0,16,no
Bundesliga,2014/2015,1,Borussia Dortmund,Bayer Leverkusen,0:2,0:2,90,no
Bundesliga,2014/2015,1,Borussia Dortmund,Bayer Leverkusen,0:2,0:1,1,no
Bundesliga,2014/2015,1,SC Paderborn 07,1. FSV Mainz 05,2:2,2:2,90,no
Bundesliga,2014/2015,1,SC Paderborn 07,1. FSV Mainz 05,2:2,2:1,87,no
Bundesliga,2014/2015,1,SC Paderborn 07,1. FSV Mainz 05,2:2,1:1,38,no
Bundesliga,2014/2015,1,SC Paderborn 07,1. FSV Mainz 05,2:2,0:1,34,no
Bundesliga,2014/2015,1,Borussia Mönchengladbach,VfB Stuttgart,1:1,1:1,90,no
Bundesliga,2014/2015,1,Borussia Mönchengladbach,VfB Stuttgart,1:1,0:1,51,no
Bundesliga,2014/2015,10,FC Schalke 04,FC Augsburg,1:0,1:0,37,no
Bundesliga,2014/2015,10,1. FSV Mainz 05,SV Werder Bremen,1:2,1:2,50,no
Bundesliga,2014/2015,10,1. FSV Mainz 05,SV Werder Bremen,1:2,1:1,44,no
Bundesliga,2014/2015,10,1. FSV Mainz 05,SV Werder Bremen,1:2,1:0,3,no
Bundesliga,2014/2015,10,Hamburger SV,Bayer Leverkusen,1:0,1:0,26,no
Bundesliga,2014/2015,10,Hannover 96,Eintracht Frankfurt,1:0,1:0,88,no
Bundesliga,2014/2015,10,VfB Stuttgart,VfL Wolfsburg,0:4,0:4,88,no
Bundesliga,2014/2015,10,VfB Stuttgart,VfL Wolfsburg,0:4,0:3,48,no
Bundesliga,2014/2015,10,VfB Stuttgart,VfL Wolfsburg,0:4,0:2,45,no
Bundesliga,2014/2015,10,VfB Stuttgart,VfL Wolfsburg,0:4,0:1,15,no
Bundesliga,2014/2015,10,FC Bayern München,Borussia Dortmund,2:1,2:1,85,no
Bundesliga,2014/2015,10,FC Bayern München,Borussia Dortmund,2:1,1:1,72,no
Bundesliga,2014/2015,10,FC Bayern München,Borussia Dortmund,2:1,0:1,31,no
Bundesliga,2014/2015,10,Borussia Mönchengladbach,1899 Hoffenheim,3:1,3:1,52,no
Bundesliga,2014/2015,10,Borussia Mönchengladbach,1899 Hoffenheim,3:1,2:1,32,no
Bundesliga,2014/2015,10,Borussia Mönchengladbach,1899 Hoffenheim,3:1,1:1,30,no
Bundesliga,2014/2015,10,Borussia Mönchengladbach,1899 Hoffenheim,3:1,1:0,12,no
Bundesliga,2014/2015,10,1. FC Köln,SC Freiburg,0:1,0:1,50,no
Bundesliga,2014/2015,10,SC Paderborn 07,Hertha BSC,3:1,3:1,76,no
Bundesliga,2014/2015,10,SC Paderborn 07,Hertha BSC,3:1,2:1,52,no
Bundesliga,2014/2015,10,SC Paderborn 07,Hertha BSC,3:1,1:1,41,no
Bundesliga,2014/2015,10,SC Paderborn 07,Hertha BSC,3:1,1:0,28,no
Bundesliga,2014/2015,11,Hertha BSC,Hannover 96,0:2,0:2,76,no
Bundesliga,2014/2015,11,Hertha BSC,Hannover 96,0:2,0:1,44,no
Bundesliga,2014/2015,11,1899 Hoffenheim,1. FC Köln,3:4,3:4,83,no
Bundesliga,2014/2015,11,1899 Hoffenheim,1. FC Köln,3:4,3:3,45,no
Bundesliga,2014/2015,11,1899 Hoffenheim,1. FC Köln,3:4,2:3,39,no
Bundesliga,2014/2015,11,1899 Hoffenheim,1. FC Köln,3:4,1:3,35,no
Bundesliga,2014/2015,11,1899 Hoffenheim,1. FC Köln,3:4,1:2,13,no
Bundesliga,2014/2015,11,1899 Hoffenheim,1. FC Köln,3:4,1:1,5,no
Bundesliga,2014/2015,11,1899 Hoffenheim,1. FC Köln,3:4,1:0,3,no
Bundesliga,2014/2015,11,Eintracht Frankfurt,FC Bayern München,0:4,0:4,87,no
Bundesliga,2014/2015,11,Eintracht Frankfurt,FC Bayern München,0:4,0:3,67,no
Bundesliga,2014/2015,11,Eintracht Frankfurt,FC Bayern München,0:4,0:2,64,no
Bundesliga,2014/2015,11,Eintracht Frankfurt,FC Bayern München,0:4,0:1,22,no
Bundesliga,2014/2015,11,FC Augsburg,SC Paderborn 07,1:0,3:0,68,no
Bundesliga,2014/2015,11,FC Augsburg,SC Paderborn 07,1:0,2:0,48,no
Bundesliga,2014/2015,11,FC Augsburg,SC Paderborn 07,1:0,1:0,7,no
Bundesliga,2014/2015,11,SC Freiburg,FC Schalke 04,2:0,2:0,68,no
Bundesliga,2014/2015,11,SC Freiburg,FC Schalke 04,2:0,1:0,22,no
Bundesliga,2014/2015,11,SV Werder Bremen,VfB Stuttgart,2:0,2:0,57,no
Bundesliga,2014/2015,11,SV Werder Bremen,VfB Stuttgart,2:0,1:0,30,no
Bundesliga,2014/2015,11,VfL Wolfsburg,Hamburger SV,2:0,2:0,64,no
Bundesliga,2014/2015,11,VfL Wolfsburg,Hamburger SV,2:0,1:0,26,no
Bundesliga,2014/2015,11,Borussia Dortmund,Borussia Mönchengladbach,1:0,1:0,58,no
Bundesliga,2014/2015,12,1. FSV Mainz 05,SC Freiburg,2:2,2:2,88,no
Bundesliga,2014/2015,12,1. FSV Mainz 05,SC Freiburg,2:2,1:2,58,no
Bundesliga,2014/2015,12,1. FSV Mainz 05,SC Freiburg,2:2,1:1,30,no
