League,Saison,Spieltag,hometeam_raw,awayteam_raw,final_score_raw,goal_raw,goal_time_raw,extratime_raw
La Liga,2014/2015,1,Real Madrid,FC Cordoba,2:0,2:0,90',NO
La Liga,2014/2015,1,Real Madrid,FC Cordoba,2:0,1:0,30',NO
La Liga,2014/2015,1,FC Malaga,Athletic Bilbao,1:0,1:0,90',NO
La Liga,2014/2015,1,FC Granada,Deportivo La Coruna,2:1,2:1,77',NO
La Liga,2014/2015,1,FC Granada,Deportivo La Coruna,2:1,1:1,55',NO
La Liga,2014/2015,1,FC Granada,Deportivo La Coruna,2:1,0:1,20',NO
La Liga,2014/2015,1,FC Sevilla,FC Valencia,1:1,1:1,88',NO
La Liga,2014/2015,1,FC Sevilla,FC Valencia,1:1,1:0,67',NO
La Liga,2014/2015,1,UD Almeria,Espanyol Barcelona,1:1,1:1,90',NO
La Liga,2014/2015,1,UD Almeria,Espanyol Barcelona,1:1,1:0,52',NO
La Liga,2014/2015,1,SD Eibar,Real Sociedad San Sebastian,1:0,1:0,45',NO
La Liga,2014/2015,1,Celta Vigo,FC Getafe,3:1,3:1,70',NO
La Liga,2014/2015,1,Celta Vigo,FC Getafe,3:1,2:1,62',NO
La Liga,2014/2015,1,Celta Vigo,FC Getafe,3:1,2:0,56',NO
La Liga,2014/2015,1,Celta Vigo,FC Getafe,3:1,1:0,20',NO
La Liga,2014/2015,1,Levante UD,FC Villarreal,0:2,0:2,85',NO
La Liga,2014/2015,1,Levante UD,FC Villarreal,0:2,0:1,56',NO
La Liga,2014/2015,10,Deportivo La Coruna,FC Getafe,1:2,1:2,80',NO
La Liga,2014/2015,10,Deportivo La Coruna,FC Getafe,1:2,0:2,46',NO
La Liga,2014/2015,10,Deportivo La Coruna,FC Getafe,1:2,0:1,35',NO
La Liga,2014/2015,10,Rayo Vallecano,SD Eibar,2:3,2:3,86',NO
La Liga,2014/2015,10,Rayo Vallecano,SD Eibar,2:3,2:2,68',NO
La Liga,2014/2015,10,Rayo Vallecano,SD Eibar,2:3,1:2,67',NO
La Liga,2014/2015,10,Rayo Vallecano,SD Eibar,2:3,0:2,49',NO
La Liga,2014/2015,10,Rayo Vallecano,SD Eibar,2:3,0:1,37',NO
La Liga,2014/2015,10,FC Granada,Real Madrid,0:4,0:4,87',NO
La Liga,2014/2015,10,FC Granada,Real Madrid,0:4,0:3,54',NO
La Liga,2014/2015,10,FC Granada,Real Madrid,0:4,0:2,31',NO
La Liga,2014/2015,10,FC Granada,Real Madrid,0:4,0:1,2',NO
La Liga,2014/2015,10,Atletico Madrid,FC Cordoba,4:2,4:2,87',NO
La Liga,2014/2015,10,Atletico Madrid,FC Cordoba,4:2,4:1,80',NO
La Liga,2014/2015,10,Atletico Madrid,FC Cordoba,4:2,3:1,62',NO
La Liga,2014/2015,10,Atletico Madrid,FC Cordoba,4:2,2:1,58',NO
La Liga,2014/2015,10,Atletico Madrid,FC Cordoba,4:2,1:1,53',NO
La Liga,2014/2015,10,Atletico Madrid,FC Cordoba,4:2,1:0,43',NO
La Liga,2014/2015,10,FC Barcelona,Celta Vigo,0:1,0:1,55',NO
La Liga,2014/2015,10,Real Sociedad San Sebastian,FC Malaga,0:1,0:1,72',NO
La Liga,2014/2015,10,Athletic Bilbao,FC Sevilla,1:0,1:0,13',NO
La Liga,2014/2015,10,FC Villarreal,FC Valencia,1:3,1:3,88',NO
La Liga,2014/2015,10,FC Villarreal,FC Valencia,1:3,0:3,73',NO
La Liga,2014/2015,10,FC Villarreal,FC Valencia,1:3,0:2,64',NO
La Liga,2014/2015,10,FC Villarreal,FC Valencia,1:3,0:1,6',NO
La Liga,2014/2015,10,Levante UD,UD Almeria,2:1,2:1,75',NO
La Liga,2014/2015,10,Levante UD,UD Almeria,2:1,1:1,70',NO
La Liga,2014/2015,10,Levante UD,UD Almeria,2:1,1:0,26',NO
La Liga,2014/2015,10,FC Elche,Espanyol Barcelona,2:1,2:1,86',NO
La Liga,2014/2015,10,FC Elche,Espanyol Barcelona,2:1,2:0,85',NO
La Liga,2014/2015,10,FC Elche,Espanyol Barcelona,2:1,1:0,76',NO
La Liga,2014/2015,11,UD Almeria,FC Barcelona,1:2,1:2,82',NO
La Liga,2014/2015,11,UD Almeria,FC Barcelona,1:2,1:1,73',NO
La Liga,2014/2015,11,UD Almeria,FC Barcelona,1:2,1:0,37',NO
La Liga,2014/2015,11,Real Madrid,Rayo Vallecano,1:0,5:1,83',NO
La Liga,2014/2015,11,Real Madrid,Rayo Vallecano,1:0,4:1,59',NO
La Liga,2014/2015,11,Real Madrid,Rayo Vallecano,1:0,3:1,55',NO
La Liga,2014/2015,11,Real Madrid,Rayo Vallecano,1:0,2:1,44',NO
La Liga,2014/2015,11,Real Madrid,Rayo Vallecano,1:0,2:0,40',NO
La Liga,2014/2015,11,Real Madrid,Rayo Vallecano,1:0,1:0,9',NO
La Liga,2014/2015,11,FC Malaga,SD Eibar,2:1,2:1,89',NO
La Liga,2014/2015,11,FC Malaga,SD Eibar,2:1,1:1,88',NO
La Liga,2014/2015,11,FC Malaga,SD Eibar,2:1,0:1,53',NO
La Liga,2014/2015,11,FC Sevilla,Levante UD,1:1,1:1,80',NO
La Liga,2014/2015,11,FC Sevilla,Levante UD,1:1,1:0,31',NO
La Liga,2014/2015,11,Espanyol Barcelona,FC Villarreal,1:1,1:1,90',NO
La Liga,2014/2015,11,Espanyol Barcelona,FC Villarreal,1:1,0:1,26',NO
La Liga,2014/2015,11,Real Sociedad San Sebastian,Atletico Madrid,2:1,2:1,83',NO
La Liga,2014/2015,11,Real Sociedad San Sebastian,Atletico Madrid,2:1,1:1,50',NO
La Liga,2014/2015,11,Real Sociedad San Sebastian,Atletico Madrid,2:1,0:1,15',NO
La Liga,2014/2015,12,Athletic Bilbao,Espanyol Barcelona,3:1,3:1,84',NO
La Liga,2014/2015,12,Athletic Bilbao,Espanyol Barcelona,3:1,3:0,78',NO
La Liga,2014/2015,12,Athletic Bilbao,Espanyol Barcelona,3:1,2:0,44',NO
La Liga,2014/2015,12,Athletic Bilbao,Espanyol Barcelona,3:1,1:0,29',NO
La Liga,2014/2015,12,Atletico Madrid,FC Malaga,3:1,3:1,88',NO
La Liga,2014/2015,12,Atletico Madrid,FC Malaga,3:1,2:1,84',NO
La Liga,2014/2015,12,Atletico Madrid,FC Malaga,3:1,2:0,73',NO
La Liga,2014/2015,12,Atletico Madrid,FC Malaga,3:1,1:0,64',NO
La Liga,2014/2015,12,SD Eibar,Real Madrid,0:4,0:4,85',NO
La Liga,2014/2015,12,SD Eibar,Real Madrid,0:4,0:3,71',NO
La Liga,2014/2015,12,SD Eibar,Real Madrid,0:4,0:2,43',NO
La Liga,2014/2015,12,SD Eibar,Real Madrid,0:4,0:1,23',NO
La Liga,2014/2015,12,FC Barcelona,FC Sevilla,5:1,5:1,78',NO
La Liga,2014/2015,12,FC Barcelona,FC Sevilla,5:1,4:1,72',NO
La Liga,2014/2015,12,FC Barcelona,FC Sevilla,5:1,3:1,65',NO
La Liga,2014/2015,12,FC Barcelona,FC Sevilla,5:1,2:1,49',NO
La Liga,2014/2015,12,FC Barcelona,FC Sevilla,5:1,1:1,47',NO
La Liga,2014/2015,12,FC Barcelona,FC Sevilla,5:1,1:0,21',NO
La Liga,2014/2015,12,Rayo Vallecano,Celta Vigo,1:0,1:0,20',NO
La Liga,2014/2015,12,Levante UD,FC Valencia,2:1,2:1,74',NO
La Liga,2014/2015,12,Levante UD,FC Valencia,2:1,1:1,74',NO
La Liga,2014/2015,12,Levante UD,FC Valencia,2:1,1:0,58',NO
La Liga,2014/2015,12,FC Elche,FC Cordoba,2:2,2:2,75',NO
La Liga,2014/2015,12,FC Elche,FC Cordoba,2:2,1:2,63',NO
La Liga,2014/2015,12,FC Elche,FC Cordoba,2:2,0:2,60',NO
La Liga,2014/2015,12,FC Elche,FC Cordoba,2:2,0:1,12',NO
La Liga,2014/2015,12,FC Villarreal,FC Getafe,2:1,2:1,61',NO
La Liga,2014/2015,12,FC Villarreal,FC Getafe,2:1,2:0,43',NO
La Liga,2014/2015,12,FC Villarreal,FC Getafe,2:1,1:0,38',NO
La Liga,2014/2015,13,UD Almeria,Rayo Vallecano,0:1,0:1,86',NO
La Liga,2014/2015,13,FC Getafe,Athletic Bilbao,1:2,1:2,90',NO
La Liga,2014/2015,13,FC Getafe,Athletic Bilbao,1:2,0:2,90',NO
La Liga,2014/2015,13,FC Getafe,Athletic Bilbao,1:2,0:1,36',NO
La Liga,2014/2015,13,Espanyol Barcelona,Levante UD,2:1,2:1,34',NO
La Liga,2014/2015,13,Espanyol Barcelona,Levante UD,2:1,1:1,19',NO
La Liga,2014/2015,13,Espanyol Barcelona,Levante UD,2:1,0:1,12',NO
La Liga,2014/2015,13,FC Malaga,Real Madrid,1:2,1:2,90',NO
La Liga,2014/2015,13,FC Malaga,Real Madrid,1:2,0:2,86',NO
La Liga,2014/2015,13,FC Malaga,Real Madrid,1:2,0:1,83',NO
La Liga,2014/2015,13,Celta Vigo,SD Eibar,0:1,0:1,30',NO
La Liga,2014/2015,13,Atletico Madrid,Deportivo La Coruna,2:0,2:0,55',NO
La Liga,2014/2015,13,Atletico Madrid,Deportivo La Coruna,2:0,1:0,43',NO
La Liga,2014/2015,13,FC Sevilla,FC Granada,5:1,5:1,90',NO
La Liga,2014/2015,13,FC Sevilla,FC Granada,5:1,4:1,89',NO
La Liga,2014/2015,13,FC Sevilla,FC Granada,5:1,3:1,79',NO
La Liga,2014/2015,13,FC Sevilla,FC Granada,5:1,2:1,65',NO
La Liga,2014/2015,13,FC Sevilla,FC Granada,5:1,1:1,42',NO
La Liga,2014/2015,13,FC Sevilla,FC Granada,5:1,1:0,24',NO
La Liga,2014/2015,13,FC Cordoba,FC Villarreal,0:2,0:2,70',NO
La Liga,2014/2015,13,FC Cordoba,FC Villarreal,0:2,0:1,24',NO
La Liga,2014/2015,13,FC Valencia,FC Barcelona,0:1,0:1,90',NO
La Liga,2014/2015,14,SD Eibar,UD Almeria,5:2,5:2,77',NO
La Liga,2014/2015,14,SD Eibar,UD Almeria,5:2,5:1,74',NO
La Liga,2014/2015,14,SD Eibar,UD Almeria,5:2,4:1,57',NO
La Liga,2014/2015,14,SD Eibar,UD Almeria,5:2,3:1,43',NO
La Liga,2014/2015,14,SD Eibar,UD Almeria,5:2,3:0,31',NO
La Liga,2014/2015,14,SD Eibar,UD Almeria,5:2,2:0,21',NO
La Liga,2014/2015,14,SD Eibar,UD Almeria,5:2,1:0,3',NO
La Liga,2014/2015,14,Levante UD,FC Getafe,1:1,1:1,71',NO
La Liga,2014/2015,14,Levante UD,FC Getafe,1:1,0:1,56',NO
La Liga,2014/2015,14,FC Elche,Atletico Madrid,0:2,0:2,53',NO
La Liga,2014/2015,14,FC Elche,Atletico Madrid,0:2,0:1,16',NO
La Liga,2014/2015,14,Athletic Bilbao,FC Cordoba,0:1,0:1,23',NO
La Liga,2014/2015,14,Real Madrid,Celta Vigo,3:0,3:0,81',NO
La Liga,2014/2015,14,Real Madrid,Celta Vigo,3:0,2:0,65',NO
La Liga,2014/2015,14,Real Madrid,Celta Vigo,3:0,1:0,36',NO
La Liga,2014/2015,14,Deportivo La Coruna,FC Malaga,0:1,0:1,21',NO
La Liga,2014/2015,14,Rayo Vallecano,FC Sevilla,0:1,0:1,87',NO
La Liga,2014/2015,14,FC Barcelona,Espanyol Barcelona,5:1,5:1,81',NO
La Liga,2014/2015,14,FC Barcelona,Espanyol Barcelona,5:1,4:1,77',NO
La Liga,2014/2015,14,FC Barcelona,Espanyol Barcelona,5:1,3:1,53',NO
La Liga,2014/2015,14,FC Barcelona,Espanyol Barcelona,5:1,2:1,50',NO
La Liga,2014/2015,14,FC Barcelona,Espanyol Barcelona,5:1,1:1,45',NO
La Liga,2014/2015,14,FC Barcelona,Espanyol Barcelona,5:1,0:1,13',NO
La Liga,2014/2015,14,FC Villarreal,Real Sociedad San Sebastian,4:0,4:0,86',NO
La Liga,2014/2015,14,FC Villarreal,Real Sociedad San Sebastian,4:0,3:0,80',NO
La Liga,2014/2015,14,FC Villarreal,Real Sociedad San Sebastian,4:0,2:0,73',NO
La Liga,2014/2015,14,FC Villarreal,Real Sociedad San Sebastian,4:0,1:0,64',NO
La Liga,2014/2015,14,FC Granada,FC Valencia,1:1,1:1,89',NO
La Liga,2014/2015,14,FC Granada,FC Valencia,1:1,0:1,86',NO
La Liga,2014/2015,15,UD Almeria,Real Madrid,1:4,1:4,88',NO
La Liga,2014/2015,15,UD Almeria,Real Madrid,1:4,1:3,81',NO
La Liga,2014/2015,15,UD Almeria,Real Madrid,1:4,1:2,42',NO
La Liga,2014/2015,15,UD Almeria,Real Madrid,1:4,1:1,39',NO
La Liga,2014/2015,15,UD Almeria,Real Madrid,1:4,0:1,34',NO
La Liga,2014/2015,15,Deportivo La Coruna,FC Elche,1:0,1:0,22',NO
La Liga,2014/2015,15,FC Valencia,Rayo Vallecano,3:0,3:0,71',NO
La Liga,2014/2015,15,FC Valencia,Rayo Vallecano,3:0,2:0,36',NO
La Liga,2014/2015,15,FC Valencia,Rayo Vallecano,3:0,1:0,34',NO
La Liga,2014/2015,15,FC Malaga,Celta Vigo,1:0,1:0,21',NO
La Liga,2014/2015,15,Espanyol Barcelona,FC Granada,2:1,2:1,90',NO
La Liga,2014/2015,15,Espanyol Barcelona,FC Granada,2:1,1:1,82',NO
La Liga,2014/2015,15,Espanyol Barcelona,FC Granada,2:1,1:0,61',NO
La Liga,2014/2015,15,Atletico Madrid,FC Villarreal,0:1,0:1,84',NO
La Liga,2014/2015,15,Real Sociedad San Sebastian,Athletic Bilbao,1:1,1:1,90',NO
La Liga,2014/2015,15,Real Sociedad San Sebastian,Athletic Bilbao,1:1,1:0,61',NO
La Liga,2014/2015,16,Celta Vigo,UD Almeria,0:1,0:1,17',NO
La Liga,2014/2015,16,Real Madrid,FC Sevilla,2:1,2:1,80',NO
La Liga,2014/2015,16,Real Madrid,FC Sevilla,2:1,2:0,36',NO
La Liga,2014/2015,16,Real Madrid,FC Sevilla,2:1,1:0,12',NO
La Liga,2014/2015,16,FC Barcelona,FC Cordoba,5:0,5:0,90',NO
La Liga,2014/2015,16,FC Barcelona,FC Cordoba,5:0,4:0,82',NO
La Liga,2014/2015,16,FC Barcelona,FC Cordoba,5:0,3:0,80',NO
La Liga,2014/2015,16,FC Barcelona,FC Cordoba,5:0,2:0,53',NO
La Liga,2014/2015,16,FC Barcelona,FC Cordoba,5:0,1:0,2',NO
La Liga,2014/2015,16,Levante UD,Real Sociedad San Sebastian,1:1,1:1,90',NO
La Liga,2014/2015,16,Levante UD,Real Sociedad San Sebastian,1:1,0:1,48',NO
La Liga,2014/2015,16,SD Eibar,FC Valencia,0:1,0:1,31',NO
La Liga,2014/2015,16,Rayo Vallecano,Espanyol Barcelona,1:3,1:3,90',NO
La Liga,2014/2015,16,Rayo Vallecano,Espanyol Barcelona,1:3,1:2,81',NO
La Liga,2014/2015,16,Rayo Vallecano,Espanyol Barcelona,1:3,1:1,76',NO
La Liga,2014/2015,16,Rayo Vallecano,Espanyol Barcelona,1:3,0:1,45',NO
La Liga,2014/2015,16,FC Villarreal,Deportivo La Coruna,3:0,3:0,80',NO
La Liga,2014/2015,16,FC Villarreal,Deportivo La Coruna,3:0,2:0,73',NO
La Liga,2014/2015,16,FC Villarreal,Deportivo La Coruna,3:0,1:0,68',NO
La Liga,2014/2015,16,FC Granada,FC Getafe,1:1,1:1,78',NO
La Liga,2014/2015,16,FC Granada,FC Getafe,1:1,1:0,40',NO
La Liga,2014/2015,16,Athletic Bilbao,Atletico Madrid,1:4,1:4,81',NO
La Liga,2014/2015,16,Athletic Bilbao,Atletico Madrid,1:4,1:3,73',NO
La Liga,2014/2015,16,Athletic Bilbao,Atletico Madrid,1:4,1:2,53',NO
