League,Saison,Spieltag,hometeam_raw,awayteam_raw,final_score_raw,goal_raw,goal_time_raw,extratime_raw
Ligue Une,2014/2015,12.0,FC Lorient,Paris St. Germain,1:2,1:2,68',0.0
Ligue Une,2014/2015,12.0,FC Lorient,Paris St. Germain,1:2,1:1,60',0.0
Ligue Une,2014/2015,12.0,FC Lorient,Paris St. Germain,1:2,1:0,42',0.0
Ligue Une,2014/2015,5.0,HSC Montpellier,FC Lorient,1:0,1:0,44',0.0
Ligue Une,2014/2015,7.0,Stade Rennes,FC Toulouse,0:3,0:3,61',0.0
Ligue Une,2014/2015,7.0,Stade Rennes,FC Toulouse,0:3,0:2,57',0.0
Ligue Une,2014/2015,7.0,Stade Rennes,FC Toulouse,0:3,0:1,42',0.0
Ligue Une,2014/2015,,FC Évian Thonon Gaillard,Olympique Marseille,0:3,0:3,63',0.0
Ligue Une,2014/2015,,FC Évian Thonon Gaillard,Olympique Marseille,0:3,0:2,44',0.0
Ligue Une,2014/2015,,FC Évian Thonon Gaillard,Olympique Marseille,0:3,0:1,1',0.0
Ligue Une,2016/2017,1.0,SC Bastia,Paris St. Germain,0:1,0:1,74',0.0
Ligue Une,2016/2017,1.0,AS Monaco,EA Guingamp,2:2,2:2,84',0.0
Ligue Une,2016/2017,1.0,AS Monaco,EA Guingamp,2:2,1:2,71',0.0
Ligue Une,2016/2017,1.0,AS Monaco,EA Guingamp,2:2,0:2,37',0.0
Ligue Une,2016/2017,1.0,AS Monaco,EA Guingamp,2:2,0:1,29',0.0
Ligue Une,2016/2017,1.0,Girondins Bordeaux,AS St. Etienne,3:2,3:2,89',0.0
Ligue Une,2016/2017,1.0,Girondins Bordeaux,AS St. Etienne,3:2,3:1,81',0.0
Ligue Une,2016/2017,1.0,Girondins Bordeaux,AS St. Etienne,3:2,3:0,72',0.0
Ligue Une,2016/2017,1.0,Girondins Bordeaux,AS St. Etienne,3:2,2:0,57',0.0
Ligue Une,2016/2017,1.0,Girondins Bordeaux,AS St. Etienne,3:2,1:0,13',0.0
Ligue Une,2016/2017,1.0,Dijon Football,FC Nantes,0:1,0:1,48',0.0
Ligue Une,2016/2017,1.0,FC Metz,OSC Lille,3:2,3:2,88',0.0
Ligue Une,2016/2017,1.0,FC Metz,OSC Lille,3:2,2:2,76',0.0
Ligue Une,2016/2017,1.0,FC Metz,OSC Lille,3:2,1:2,70',0.0
Ligue Une,2016/2017,1.0,FC Metz,OSC Lille,3:2,1:1,56',0.0
Ligue Une,2016/2017,1.0,FC Metz,OSC Lille,3:2,0:1,35',0.0
Ligue Une,2016/2017,1.0,HSC Montpellier,SCO Angers,1:0,1:0,8',0.0
Ligue Une,2016/2017,1.0,SM Caen,FC Lorient,3:2,3:2,87',0.0
Ligue Une,2016/2017,1.0,SM Caen,FC Lorient,3:2,2:2,43',0.0
Ligue Une,2016/2017,1.0,SM Caen,FC Lorient,3:2,1:2,32',0.0
Ligue Une,2016/2017,1.0,SM Caen,FC Lorient,3:2,0:2,26',0.0
Ligue Une,2016/2017,1.0,SM Caen,FC Lorient,3:2,0:1,19',0.0
