League,Saison,Spieltag,hometeam_raw,awayteam_raw,final_score_raw,goal_raw,goal_time_raw,extratime_raw
Serie A,2014/2015,1,AC Chievo Verona,Juventus Turin,0:1,0:1,,0
Serie A,2014/2015,1,AS Rom,AC Florenz,2:0,2:0,,0
Serie A,2014/2015,1,AS Rom,AC Florenz,2:0,1:0,,0
Serie A,2014/2015,1,AC Mailand,Lazio Rom,1:0,3:1,,0
Serie A,2014/2015,1,AC Mailand,Lazio Rom,1:0,3:0,,0
Serie A,2014/2015,1,AC Mailand,Lazio Rom,1:0,2:0,,0
Serie A,2014/2015,1,AC Mailand,Lazio Rom,1:0,1:0,,0
Serie A,2014/2015,1,AC Cesena,FC Parma,1:0,1:0,,0
Serie A,2014/2015,1,FC Genua 1893,SSC Neapel,1:2,1:2,,0
Serie A,2014/2015,1,FC Genua 1893,SSC Neapel,1:2,1:1,,0
Serie A,2014/2015,1,FC Genua 1893,SSC Neapel,1:2,0:1,,0
Serie A,2014/2015,1,US Palermo,Sampdoria Genua,1:1,1:1,,0
Serie A,2014/2015,1,US Palermo,Sampdoria Genua,1:1,1:0,,0
Serie A,2014/2015,1,US Sassuolo Calcio,Cagliari Calcio,1:1,1:1,,0
Serie A,2014/2015,1,US Sassuolo Calcio,Cagliari Calcio,1:1,1:0,,0
Serie A,2014/2015,1,Udinese Calcio,FC Empoli,2:0,2:0,,0
Serie A,2014/2015,1,Udinese Calcio,FC Empoli,2:0,1:0,,0
Serie A,2014/2015,10,AC Cesena,Hellas Verona,1:1,1:1,,0
Serie A,2014/2015,10,AC Cesena,Hellas Verona,1:1,1:0,,0
Serie A,2014/2015,10,Lazio Rom,Cagliari Calcio,4:2,4:2,,0
Serie A,2014/2015,10,Lazio Rom,Cagliari Calcio,4:2,3:2,,0
Serie A,2014/2015,10,Lazio Rom,Cagliari Calcio,4:2,3:1,,0
Serie A,2014/2015,10,Lazio Rom,Cagliari Calcio,4:2,3:0,,0
Serie A,2014/2015,10,Lazio Rom,Cagliari Calcio,4:2,2:0,,0
Serie A,2014/2015,10,Lazio Rom,Cagliari Calcio,4:2,1:0,,0
Serie A,2014/2015,10,SSC Neapel,AS Rom,2:0,2:0,,0
Serie A,2014/2015,10,SSC Neapel,AS Rom,2:0,1:0,,0
Serie A,2014/2015,10,FC Empoli,Juventus Turin,0:2,0:2,,0
Serie A,2014/2015,10,FC Empoli,Juventus Turin,0:2,0:1,,0
Serie A,2014/2015,10,FC Parma,Inter Mailand,2:0,2:0,,0
Serie A,2014/2015,10,FC Parma,Inter Mailand,2:0,1:0,,0
Serie A,2014/2015,10,Sampdoria Genua,AC Florenz,3:1,3:1,,0
Serie A,2014/2015,10,Sampdoria Genua,AC Florenz,3:1,2:1,,0
Serie A,2014/2015,10,Sampdoria Genua,AC Florenz,3:1,2:0,,0
Serie A,2014/2015,10,Sampdoria Genua,AC Florenz,3:1,1:0,,0
Serie A,2014/2015,10,Udinese Calcio,FC Genua 1893,2:4,2:4,,0
Serie A,2014/2015,10,Udinese Calcio,FC Genua 1893,2:4,2:3,,0
Serie A,2014/2015,10,Udinese Calcio,FC Genua 1893,2:4,2:2,,0
Serie A,2014/2015,10,Udinese Calcio,FC Genua 1893,2:4,1:2,,0
Serie A,2014/2015,10,Udinese Calcio,FC Genua 1893,2:4,1:1,,0
Serie A,2014/2015,10,Udinese Calcio,FC Genua 1893,2:4,1:0,,0
Serie A,2014/2015,10,AC Mailand,US Palermo,0:2,0:2,,0
Serie A,2014/2015,10,AC Mailand,US Palermo,0:2,0:1,,0
Serie A,2014/2015,11,Sampdoria Genua,AC Mailand,2:2,2:2,,0
Serie A,2014/2015,11,Sampdoria Genua,AC Mailand,2:2,2:1,,0
Serie A,2014/2015,11,Sampdoria Genua,AC Mailand,2:2,1:1,,0
Serie A,2014/2015,11,Sampdoria Genua,AC Mailand,2:2,0:1,,0
Serie A,2014/2015,11,Cagliari Calcio,FC Genua 1893,1:1,1:1,,0
Serie A,2014/2015,11,Cagliari Calcio,FC Genua 1893,1:1,1:0,,0
Serie A,2014/2015,11,AC Chievo Verona,AC Cesena,2:1,2:1,,0
Serie A,2014/2015,11,AC Chievo Verona,AC Cesena,2:1,1:1,,0
Serie A,2014/2015,11,AC Chievo Verona,AC Cesena,2:1,1:0,,0
Serie A,2014/2015,11,FC Empoli,Lazio Rom,2:1,2:1,,0
Serie A,2014/2015,11,FC Empoli,Lazio Rom,2:1,2:0,,0
Serie A,2014/2015,11,FC Empoli,Lazio Rom,2:1,1:0,,0
Serie A,2014/2015,11,Juventus Turin,FC Parma,7:0,7:0,,0
Serie A,2014/2015,11,Juventus Turin,FC Parma,7:0,6:0,,0
Serie A,2014/2015,11,Juventus Turin,FC Parma,7:0,5:0,,0
Serie A,2014/2015,11,Juventus Turin,FC Parma,7:0,4:0,,0
Serie A,2014/2015,11,Juventus Turin,FC Parma,7:0,3:0,,0
Serie A,2014/2015,11,Juventus Turin,FC Parma,7:0,2:0,,0
Serie A,2014/2015,11,Juventus Turin,FC Parma,7:0,1:0,,0
Serie A,2014/2015,11,US Palermo,Udinese Calcio,0:1,1:1,,0
Serie A,2014/2015,11,US Palermo,Udinese Calcio,0:1,0:1,,0
Serie A,2014/2015,11,AC Florenz,SSC Neapel,0:1,0:1,,0
Serie A,2014/2015,11,AS Rom,FC Turin,1:0,3:0,,0
Serie A,2014/2015,11,AS Rom,FC Turin,1:0,2:0,,0
Serie A,2014/2015,11,AS Rom,FC Turin,1:0,1:0,,0
Serie A,2014/2015,11,Inter Mailand,Hellas Verona,2:2,2:2,,0
Serie A,2014/2015,11,Inter Mailand,Hellas Verona,2:2,2:1,,0
Serie A,2014/2015,11,Inter Mailand,Hellas Verona,2:2,1:1,,0
Serie A,2014/2015,11,Inter Mailand,Hellas Verona,2:2,0:1,,0
Serie A,2014/2015,12,FC Genua 1893,US Palermo,0:1,1:1,,0
Serie A,2014/2015,12,FC Genua 1893,US Palermo,0:1,0:1,,0
Serie A,2014/2015,12,Atalanta Bergamo,AS Rom,1:2,1:2,,0
Serie A,2014/2015,12,Atalanta Bergamo,AS Rom,1:2,1:1,,0
Serie A,2014/2015,12,Atalanta Bergamo,AS Rom,1:2,1:0,,0
Serie A,2014/2015,12,Lazio Rom,Juventus Turin,0:3,0:3,,0
Serie A,2014/2015,12,Lazio Rom,Juventus Turin,0:3,0:2,,0
Serie A,2014/2015,12,Lazio Rom,Juventus Turin,0:3,0:1,,0
Serie A,2014/2015,12,FC Turin,US Sassuolo Calcio,0:1,0:1,,0
Serie A,2014/2015,12,AC Cesena,Sampdoria Genua,1:1,1:1,,0
Serie A,2014/2015,12,AC Cesena,Sampdoria Genua,1:1,1:0,,0
Serie A,2014/2015,12,FC Parma,FC Empoli,0:2,0:2,,0
Serie A,2014/2015,12,FC Parma,FC Empoli,0:2,0:1,,0
Serie A,2014/2015,12,Hellas Verona,AC Florenz,1:2,1:2,,0
Serie A,2014/2015,12,Hellas Verona,AC Florenz,1:2,1:1,,0
Serie A,2014/2015,12,Hellas Verona,AC Florenz,1:2,0:1,,0
Serie A,2014/2015,12,SSC Neapel,Cagliari Calcio,3:3,3:3,,0
Serie A,2014/2015,12,SSC Neapel,Cagliari Calcio,3:3,3:2,,0
Serie A,2014/2015,12,SSC Neapel,Cagliari Calcio,3:3,2:2,,0
Serie A,2014/2015,12,SSC Neapel,Cagliari Calcio,3:3,2:1,,0
Serie A,2014/2015,12,SSC Neapel,Cagliari Calcio,3:3,2:0,,0
Serie A,2014/2015,12,SSC Neapel,Cagliari Calcio,3:3,1:0,,0
Serie A,2014/2015,12,Udinese Calcio,AC Chievo Verona,1:1,1:1,,0
Serie A,2014/2015,12,Udinese Calcio,AC Chievo Verona,1:1,1:0,,0
Serie A,2014/2015,12,AC Mailand,Inter Mailand,1:1,1:1,,0
Serie A,2014/2015,12,AC Mailand,Inter Mailand,1:1,1:0,,0
Serie A,2014/2015,13,Sampdoria Genua,SSC Neapel,1:1,1:1,,0
Serie A,2014/2015,13,Sampdoria Genua,SSC Neapel,1:1,1:0,,0
Serie A,2014/2015,13,US Sassuolo Calcio,Hellas Verona,2:1,2:1,,0
Serie A,2014/2015,13,US Sassuolo Calcio,Hellas Verona,2:1,1:1,,0
